breed_group,primary_breed,age,modified_age,gender,multi_dog,bad_data
PIT MIX,Pit Bull,1,1,S,F,F
PIT MIX,Pit Bull,U,U,U,F,F
SIBERIAN HUSKY,Siberian Husky,10,10,M,F,F
,,3,3,M,F,T
STAFFORDSHIRE,American Staffordshire Terrier,1,1,M,F,F
BULLMASTIFF,"Mastiff, Bull",U,U,U,F,F
MIX,MALTESE/ FRENCH POODLE MIX,5M,0.42,M,F,F
STAFFORDSHIRE,American Staffordshire Terrier,3,3,S,F,F
,,U,U,U,F,T
,,U,U,U,F,T
,,U,U,U,F,T
PIT MIX,Pit Bull,2YRS,2,M,F,F
MALTESE,Maltese,U,U,U,F,F
MIX,WHIPPET MIX,1,1,U,F,F
STAFFORDSHIRE,American Staffordshire Terrier,4,4,S,F,F
MIX,Mixed/Other,3,3,S,F,F
,,U,U,U,F,T
DACHSHUND,Dachshund Smooth Coat,9,9,M,F,F
GERMAN PINSCHER,German Pinscher,5,5,N,F,F
MIX,Labradoodle,5,5,S,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,Mixed/Other,2,2,N,F,F
PIT MIX,Pit Bull,U,U,U,F,F
MIX,MINI. SCHNAUZER MIX,5,5,M,F,F
MIX,Mixed/Other,2YRS,2,M,F,F
STAFFORDSHIRE,American Staffordshire Terrier,3,3,F,F,F
TERRIER,TERRIER,U,U,U,F,F
SIBERIAN HUSKY,Siberian Husky,11/2 YRS,1.5,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
,,U,U,U,F,T
MALTESE,Maltese,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
YORKSHIRE TERR,Yorkshire Terrier,8,8,S,F,F
STAFFORDSHIRE,American Staffordshire Terrier,5,5,M,F,F
SIBERIAN HUSKY,Siberian Husky,11/2 YRS,1.5,M,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,2,2,F,F,F
YORKSHIRE TERR,Yorkshire Terrier,2,2,N,F,F
,,U,U,U,F,T
PIT MIX,PITBULL/BOXER MIX,1,1,M,F,F
BULLDOG,Bull dog,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
STAFFORDSHIRE,American Staffordshire Terrier,1.5,1.42,M,F,F
,,U,U,U,F,T
,,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
,,U,U,U,F,T
PIT MIX,American Pit Bull Terrier/Pit Bull,3,3,M,F,F
MIX,POODLE X,U,U,U,F,F
SHIH TZU,Shih Tzu,U,U,N,F,F
ROTTWEILER,Rottweiler,1,1,M,F,F
MIX,PITBULL & LAB MIX,U,U,U,F,F
LHASA APSO,Lhasa Apso,14,14,N,F,F
BICHON FRISE,Bichon Frise,10,10,S,F,F
PIT MIX,PITBULL/LABRADOR,11MTHS,0.92,M,F,F
,,U,U,U,F,T
PIT MIX,PIT BULL/LABRADOR,2YRS,2,M,F,F
PIT MIX,Pit Bull,5,5,S,F,F
MIX,SHIH TZU/POODLE,8,8,N,F,F
CHIHUAHUA,Chihuahua,1,1,N,F,F
SCHNAUZER GIANT,"Schnauzer, Giant",4,4,N,F,F
LABRADOR RETR,Labrador Retriever,U,U,U,F,F
,,U,U,M,F,T
SHIH TZU,Shih Tzu,2,2,S,F,F
CHIHUAHUA,Chihuahua,3,3,N,F,F
BOXER,Boxer,U,U,U,F,F
MALTESE,Maltese,U,U,U,F,F
MALTESE,Maltese,U,U,U,F,F
,,U,U,U,F,T
BULLDOG,Bull dog,2,2,N,F,F
,,U,U,U,F,T
,,U,U,U,F,T
PIT MIX,Pit Bull,3YRS,3,M,F,F
GOLDEN RETR,Golden Retriever,3YRS,3,N,F,F
MALTESE,Maltese,2,2,N,F,F
GERM SHEPHERD,German Shepherd,U,U,U,F,F
MIX,SHIH TZU/POODLE,3YRS,3,M,F,F
GERM SHEPHERD,GERMAN SHEPHERD,7,7,M,F,F
YORKSHIRE TERR,Yorkshire Terrier,13,13,N,F,F
PIT MIX,Pit Bull,5,5,N,F,F
SHIH TZU,Shih Tzu,2,2,M,F,F
STAFFORDSHIRE,American Staffordshire Terrier,9,9,N,F,F
PIT MIX,Pit Bull,U,U,S,F,F
,,U,U,U,F,T
,,U,U,U,F,T
CHIHUAHUA,Chihuahua,5,5,N,F,F
MIX,Beagle Crossbreed,8,8,U,F,F
CHIHUAHUA,Chihuahua,U,U,U,F,F
PIT MIX,Pit Bull,8,8,M,F,F
PIT MIX,Pit Bull,8,8,M,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,11/2 YRS,1.5,M,F,F
,,U,U,U,F,T
PIT MIX,American Pit Bull Mix / Pit Bull Mix,U,U,U,F,F
,,U,U,U,F,T
STAFFORDSHIRE,American Staffordshire Terrier,5,5,S,F,F
CANE CORSO,Cane Corso,4,4,M,F,F
PIT MIX,PITBULL/LABRADOR MIX,U,U,U,F,F
BEAGLE,Beagle,15YRS,15,N,F,F
ROTTWEILER,Rottweiler,U,U,U,F,F
PUG,PUG,U,U,N,F,F
BICHON FRISE,Bichon Frise,1YR,1,N,F,F
BICHON FRISE,Bichon Frise,U,U,U,F,F
MALTESE,Maltese,8YRS,8,N,F,F
STAFFORDSHIRE,American Staffordshire Terrier,2,2,M,F,F
PIT MIX,Pit Bull,4,4,S,F,F
POODLE STND,"Poodle, Standard",U,U,U,F,F
COCKER SPAN,Cocker Spaniel,13YRS,13,N,F,F
MIX,BULL DOG MIXED TERRIER,6YRS,6,M,F,F
BULLMASTIFF,"Mastiff, Bull",U,U,U,F,F
CANE CORSO,Cane Corso,7,7,M,F,F
CHIHUAHUA,Chihuahua,U,U,U,F,F
MIX,MASTIFF MIX,4,4,N,F,F
CHIHUAHUA,Chihuahua,1,1,M,F,F
SHIH TZU,Shih Tzu,5,5,M,F,F
BEAGLE,Beagle,U,U,U,F,F
BULLDOG,Bull dog,U,U,U,F,F
,,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
MIX,Mixed/Other,U,U,U,F,F
JINDO,"Jindo Dog,",12,12,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,10,10,M,F,F
STAFFORDSHIRE,American Staffordshire Terrier,1,1,F,F,F
,,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
,,U,U,U,F,T
,,U,U,U,F,T
MALTESE,Maltese,2YRS,2,F,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,10,10,M,F,F
MIX,German Shepherd Crossbreed,13,13,N,F,F
MIX,SHIH TZU/MIX,13,13,N,F,F
PIT MIX,Pit Bull,2,2,M,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,2,2,M,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,U,U,M,F,F
YORKSHIRE TERR,Yorkshire Terrier,5,5,S,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,3,3,M,F,F
PIT MIX,Pit Bull,3,3,N,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,3,3,S,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,3,3,S,F,F
PIT MIX,Pit Bull,9,9,M,F,F
,,U,U,U,F,T
STAFFORDSHIRE,American Staffordshire Terrier,1,1,F,F,F
PIT MIX,Pit Bull,3,3,F,F,F
PIT MIX,PIT/CHIHUAHUA,1,1,N,F,F
,,U,U,U,F,T
POODLE MIN,"Poodle, Miniature",U,U,U,F,F
SHIH TZU,Shih Tzu,7,7,M,F,F
JACK RUSS TERR,Jack Russ,7,7,N,F,F
,,U,U,U,F,T
,,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
,,U,U,U,F,T
DACHSHUND,Dachshund Smooth Coat,3,3,N,F,F
PIT MIX,Pit Bull,3,3,N,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,5,5,S,F,F
,,U,U,U,F,T
,,U,U,U,F,T
BULLDOG,Bull dog,U,U,U,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,10&9,,S,Y,F
PIT MIX,PIT BULL X - HUSKY,U,U,U,F,F
MIX,German Shepherd Crossbreed,3,3,F,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,1,1,N,F,F
,,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
POODLE MIN,"Poodle, Miniature",U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,M,F,F
CHIHUAHUA,Chihuahua,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
STAFFORDSHIRE,American Staffordshire Terrier,8,8,N,F,F
PIT MIX,Pit Bull,9,9,M,F,F
PIT MIX,Pit Bull,2,2,N,F,F
PIT MIX,Pit Bull,U,U,U,F,F
,,U,U,U,F,T
CHIHUAHUA,Chihuahua,U,U,N,F,F
SHIH TZU,Shih Tzu,2(2) & (1,2,S,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,7M,0.58,M,F,F
PIT MIX,Pit Bull,4,4,N,F,F
PIT MIX,Pit Bull,1,1,N,F,F
SHIH TZU,Shih Tzu,2,2,F,F,F
CANE CORSO,Cane Corso,2,2,M,F,F
MIN PINSCHER,Miniature Pinscher,11,11,N,F,F
STAFFORDSHIRE,American Staffordshire Terrier,6,6,F,F,F
PIT MIX,Pit Bull,U,U,U,F,F
SHIH TZU,Shih Tzu,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,2,2,N,F,F
PIT MIX,Pit Bull,U,U,U,F,F
SHIH TZU,Shih Tzu,5,5,F,F,F
,,U,U,U,F,T
,,U,U,U,F,T
CHIHUAHUA,Chihuahua,5,5,N,F,F
ENG BULLDOG,"Bull Dog, English",3,3,S,F,F
,,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,8,8,N,F,F
,,U,U,U,F,T
,,U,U,U,F,T
PIT MIX,American Pit Bull Mix / Pit Bull Mix,3,3,F,F,F
PIT MIX,Pit Bull,2,2,M,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,7M,0.58,N,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,10M,0.83,S,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,10M,0.83,F,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
GREAT DANE,Great Dane,1,1,M,F,F
GREAT DANE,Great Dane,1,1,M,F,F
GREAT DANE,Great Dane,1,1,M,F,F
BULLDOG,Bull dog,9,9,M,F,F
MASTIFF,MASTIFF,5,5,M,F,F
PIT MIX,LABRADOR/ PIT BULL,5,5,N,F,F
MIX,POMERANIAN/YORKIE,2,2,F,F,F
MIX,POODLE X,6Y,6,N,F,F
GERM SHEPHERD,German Shepherd,8,8,M,F,F
,,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
STAFFORDSHIRE,American Staffordshire Terrier,1,1,N,F,F
STAFFORDSHIRE,American Staffordshire Terrier,8M,0.67,M,F,F
MIX,PUG/BOXER,5,5,N,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,3,3,M,F,F
CHIHUAHUA,Chihuahua,U,U,U,F,F
YORKSHIRE TERR,Yorkshire Terrier,3,3,N,F,F
PIT MIX,PIT BULL MIX,9,9,N,F,F
,,U,U,U,F,T
MIX,LABRADOR MIX,7,7,F,F,F
PIT MIX,PIT BULL OR ROTTWEILER X,U,U,U,F,F
MIX,Mixed/Other,U,U,U,F,F
PIT MIX,AMERICAN BULLY (PIT BULL),2,2,N,F,F
PIT MIX,Pit Bull,2,2,M,F,F
,,U,U,U,F,T
GERM SHEPHERD,German Shepherd,U,U,F,F,F
MIX,POODLE/SHIH TZU,5,5,N,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,5,5,F,F,F
BICHON FRISE,Bichon Frise,6,6,N,F,F
GERM SHEPHERD,German Shepherd,9,9,F,F,F
PIT MIX,AMERICAN PIT BULL/LABRADOR,1,1,M,F,F
STAFFORDSHIRE,American Staffordshire Terrier,U,U,U,F,F
,,U,U,U,F,T
STAFFORDSHIRE,American Staffordshire Terrier,U,U,M,F,F
,,U,U,U,F,T
AMER ESKIMO,American Eskimo,4,4,S,F,F
,,U,U,U,F,T
SHIH TZU,Shih Tzu,6,6,M,F,F
BULL TERRIER,Staffordshire Bull Terrier,4,4,F,F,F
,,U,U,U,F,T
MIX,GERMAN SHEPHERD MIX,7,7,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
POODLE MIN,"Poodle, Miniature",2,2,M,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,LAB/ PITBULL MIX,8,8,N,F,F
PIT MIX,Pit Bull,5,5,N,F,F
PIT MIX,Pit Bull,3,3,S,F,F
,,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
MIX,POMERANIAN/ SHIH TZU,U,U,U,F,F
SCHNAUZER STAND,"Schnauzer, Standard",U,U,U,F,F
LABRADOR RETR,Labrador Retriever,3,3,S,F,F
,,U,U,U,F,T
MIX,LABRADOR RET / AMERICAN ESKIMO MIX,7,7,U,F,F
GERM SHEPHERD,German Shepherd,12,12,S,F,F
MIX,Mixed/Other,7,7,M,F,F
GERM SHEPHERD,German Shepherd,6,6,F,F,F
GERM SHEPHERD,German Shepherd,7,7,N,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,Pit Bull,U,U,U,F,F
,,U,U,U,F,T
,,1,1,M,F,T
GERM SHEPHERD,German Shepherd,2,2,F,F,F
PIT MIX,LABRADOR / PIT BULL,4,4,F,F,F
STAFFORDSHIRE,American Staffordshire Terrier,3,3,S,F,F
PIT MIX,Pit Bull,U,U,U,F,F
GOLDEN RETR,Golden Retriever,6,6,N,F,F
PIT MIX,Pit Bull,3,3,S,F,F
,,U,U,U,F,T
MIX,SHIH TZU MIX,7,7,M,F,F
CHIHUAHUA,Chihuahua,1,1,M,F,F
JACK RUSS TERR,Jack Russ,6,6,N,F,F
PIT MIX,Pit Bull,U,U,U,F,F
LABRADOR RETR,LABRADOR,2,2,N,F,F
POODLE MIN,"Poodle, Miniature",3.6,3.5,M,F,F
MIX,SCHNOODLE- POODLE/SCHNAUZER,5,5,N,F,F
,,U,U,U,F,T
PIT MIX,American Pit Bull Terrier/Pit Bull,8,8,S,F,F
CHOW CHOW,Chow Chow,4,4,M,F,F
,,U,U,U,F,T
,,U,U,U,F,T
,,U,U,U,F,T
PIT MIX,Pit Bull,4,4,M,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,5,5,M,F,F
MIX,POODLE MIX,U,U,U,F,F
PIT MIX,Pit Bull,2,2,N,F,F
MIX,POODLE MIX,11,11,F,F,F
DACHSHUND,Dachshund Smooth Coat,10,10,F,F,F
PIT MIX,Pit Bull,U,U,U,F,F
POODLE MIN,"Poodle, Miniature",U,U,U,F,F
ROTTWEILER,Rottweiler,U,U,U,F,F
ROTTWEILER,Rottweiler,4,4,N,F,F
PIT MIX,Pit Bull,U,U,U,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,2,2,M,F,F
,,U,U,U,F,T
MIX,YORKSHIRE / JACK RUSS,6,6,F,F,F
MIX,POMERANIAN & CHIHUAHUA,10MTHS &,0.83,M,F,F
DOBERMAN PINSCH,Doberman Pinscher,6,6,M,F,F
,,U,U,U,F,T
,,U,U,U,F,T
PIT MIX,Pit Bull,3,3,N,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,3,3,M,F,F
MIX,LABRADOR MIX,U,U,M,F,F
,,U,U,U,F,T
,,U,U,U,F,T
,,U,U,U,F,T
,,U,U,U,F,T
MIX,Mixed/Other,U,U,U,F,F
SHIH TZU,Shih Tzu,7,7,N,F,F
SHIH TZU,Shih Tzu,1,1,S,F,F
MIX,POODLE/ MALTESE MIX,7,7,M,F,F
GOLDEN RETR,GOLDEN RETRIEVER,10,10,N,F,F
MIX,BORDER COLLIE MIX,1,1,S,F,F
PIT MIX,Pit Bull,U,U,U,F,F
,,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
STAFFORDSHIRE,American Staffordshire Terrier,2,2,M,F,F
CHIHUAHUA,Chihuahua,U,U,U,F,F
SHIH TZU,Shih Tzu,U,U,U,F,F
GERM SHEPHERD,German Shepherd,7M,0.58,M,F,F
UNKNOWN,NOT CERTAIN,U,U,U,F,T
PIT MIX,Pit Bull,4,4,S,F,F
PIT MIX,Pit Bull,4,4,S,F,F
PIT MIX,PIT BULL MIX,5,5,N,F,F
GERM SHEPHERD,German Shepherd,2,2,F,F,F
MIX,SHIH TZU X/POODLE,6,6,N,F,F
CHIHUAHUA,Chihuahua,U,U,U,F,F
MIX,JACK RUSS / SHIH TZU,4,4,S,F,F
MIX,MALTESE / POODLE MIX,1,1,M,F,F
PIT MIX,PIT BULL/BOXER X,2,2,M,F,F
PIT MIX,Pit Bull,10,10,M,F,F
PIT MIX,Pit Bull,11MTHS,0.92,M,F,F
PIT MIX,American Pit Bull Terrier/Pit Bull,5,5,F,F,F
SIBERIAN HUSKY,Siberian Husky,5,5,N,F,F
CHIHUAHUA,CHIHUAHUA,8,8,S,F,F
,,U,U,U,F,T
GERM SHEPHERD,German Shepherd,11M,0.92,S,F,F
FRENCH BULLDOG,"Bull Dog, French",U,U,U,F,F
CHIHUAHUA,Chihuahua,2,2,U,F,F
CHIHUAHUA,Chihuahua,2,2,U,F,F
GOLDEN RETR,Golden Retriever,6,6,N,F,F
,,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
STAFFORDSHIRE,American Staffordshire Terrier,5,5,N,F,F
,,U,U,U,F,T
,,U,U,U,F,T
,,U,U,U,F,T
POODLE TOY,"Poodle, Toy",1,1,M,F,F
,,U,U,U,F,T
MIX,POODLE / SHIH TZU,4,4,N,F,F
PIT MIX,Pit Bull,5,5,M,F,F
MIX,GOLDEN RETRIVER MIX,1,1,F,F,F
SHIH TZU,Shih Tzu,2,2,S,F,F
SHIH TZU,Shih Tzu,2,2,S,F,F
MIX,POODLE/ SHIH TZU MIX,1,1,N,F,F
MIX,GOLDEN DOODLE MIX,4,4,N,F,F
YORKSHIRE TERR,Yorkshire Terrier,U,U,U,F,F
,,U,U,U,F,T
COCKER SPAN,Cocker Spaniel,3,3,M,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,4,4,F,F,F
MIX,Cocker Spaniel Crossbreed,U,U,M,F,F
,,U,U,U,F,T
STAFFORDSHIRE,American Staffordshire Terrier,13,13,M,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,2,2,M,F,F
LABRADOR RETR,Labrador Retriever,4,4,N,F,F
,,U,U,U,F,T
,,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
,,U,U,U,F,T
PIT MIX,Pit Bull,U,U,U,F,F
,,U,U,U,F,T
GERM SHEPHERD,German Shepherd,6,6,S,F,F
,,U,U,U,F,T
,,U,U,U,F,T
STAFFORDSHIRE,American Staffordshire Terrier,9M,0.75,M,F,F
,,U,U,U,F,T
YORKSHIRE TERR,Yorkshire Terrier,4,4,N,F,F
GOLDEN RETR,Golden Retriever,11,11,N,F,F
MIX,Mixed/Other,U,U,U,F,F
CHIHUAHUA,Chihuahua,3,3,N,F,F
MIX,Mixed/Other,5,5,S,F,F
MIX,AUSTRALIAN CATTLE MIX,8,8,S,F,F
,,U,U,U,F,T
LABRADOR RETR,Labrador Retriever,8,8,M,F,F
AKITA,Akita,10,10,N,F,F
SHIH TZU,Shih Tzu,8,8,M,F,F
SHIH TZU,Shih Tzu,9,9,F,F,F
PIT MIX,Pit Bull,U,U,M,F,F
SHIH TZU,Shih Tzu,3,3,M,F,F
BICHON FRISE,Bichon Frise,2,2,N,F,F
,,U,U,U,F,T
SHIH TZU,Shih Tzu,1,1,M,F,F
JINDO,"Jindo Dog,",9,9,N,F,F
MIX,POODLE / SCHNAUZER / COCKER SPANIEL MIX,12,12,N,F,F
COCKER SPAN,Cocker Spaniel,1,1,M,F,F
STAFFORDSHIRE,American Staffordshire Terrier,5,5,S,F,F
STAFFORDSHIRE,American Staffordshire Terrier,8,8,N,F,F
PIT MIX,Pit Bull,5,5,M,F,F
MIX,BULL TERRIER MIX,3,3,F,F,F
PIT MIX,American Pit Bull Mix / Pit Bull Mix,3,3,N,F,F
PIT MIX,Pit Bull,1,1,M,F,F
,,U,U,U,F,T
MIX,Chihuahua Crossbreed,5,5,N,F,F
,,U,U,U,F,T
GERM SHEPHERD,German Shepherd,4,4,N,F,F
SHIBA INU,Shiba Inu,2,2,M,F,F
STAFFORDSHIRE,American Staffordshire Terrier,U,U,U,F,F
GERM SHEPHERD,German Shepherd,2,2,N,F,F
FRENCH BULLDOG,"Bull Dog, French",U,U,U,F,F
POODLE STND,"Poodle, Standard",U,U,U,F,F
STAFFORDSHIRE,American Staffordshire Terrier,2,2,M,F,F
,,U,U,U,F,T
,,U,U,U,F,T
,,U,U,U,F,T
,,U,U,U,F,T
,,U,U,U,F,T
,,U,U,U,F,T
LHASA APSO,Lhasa Apso,U,U,U,F,F
